,dims,Operating Frequency,s11 left,s11,s11 right
0,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.38908177835056, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-8.80882145326921,-9.60638173994769,-8.47396570693302
1,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.323608344347375, 10.0)",28.5,-8.85020668553566,-9.51001487850686,-8.28438436375211
2,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.27962292937647, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-9.00258911505223,-9.6046619820964,-8.30087473521425
3,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-8.92231027975875,-9.59047813930266,-8.3447939117177
4,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.30136567204116, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-8.94657725103781,-9.54511267612794,-8.2673535027128
5,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324500684155684, 10.0)",28.5,-8.94489402946552,-9.57396246960262,-8.31052350914012
6,"(0.346626629830286, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-8.72676691689293,-9.26031092892598,-8.00240984970985
7,"(0.343581601031675, 0.902182223043676, 0.3, 10.0, 2.3902198131557, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.4,-8.41856199809136,-9.63641896056617,-8.95536184737434
8,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.39135784796084, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-8.85974951202286,-9.45003053051035,-8.18981458800907
9,"(0.343581596537632, 0.8961719005463, 0.3, 10.0, 2.39867476472781, 1.29028796404097, 10.0, 10.0, 2.89947235955676, 0.339743852045351, 10.0)",28.4,-9.20010555288399,-10.2797704293267,-9.15394138827854
10,"(0.343581596537632, 0.901112050371504, 0.3, 10.0, 2.39867476472781, 1.28031136130413, 10.0, 10.0, 2.89947235955676, 0.339743852045351, 10.0)",28.4,-9.01684277039854,-10.1443788051322,-9.13234569343239
11,"(0.343581596537632, 0.901112050371504, 0.3, 10.0, 2.39867476472781, 1.29028796404097, 10.0, 10.0, 2.89947235955676, 0.339743852045351, 10.0)",28.4,-8.90788058146948,-10.0753035888831,-9.14071565846261
12,"(0.343581596537632, 0.901112050371504, 0.3, 10.0, 2.39867476472781, 1.30026456677781, 10.0, 10.0, 2.89947235955676, 0.339743852045351, 10.0)",28.4,-8.98102148849724,-10.1533189463126,-9.19594464717215
13,"(0.343581596537632, 0.901112050371504, 0.3, 10.0, 2.39867476472781, 1.29028796404097, 10.0, 10.0, 2.89947235955676, 0.34015145505641, 10.0)",28.4,-9.0558961957238,-10.1817398029045,-9.14652520165967
14,"(0.345723680914319, 0.901112050371504, 0.3, 10.0, 2.39867476472781, 1.29028796404097, 10.0, 10.0, 2.89947235955676, 0.339743852045351, 10.0)",28.4,-8.95245013906478,-9.90230661481573,-8.79020623373775
15,"(0.343581596537632, 0.906052200196708, 0.3, 10.0, 2.39867476472781, 1.29028796404097, 10.0, 10.0, 2.89947235955676, 0.339743852045351, 10.0)",28.4,-8.92191455678067,-10.0678209541089,-9.10719328577889
16,"(0.343581596537632, 0.901112050371504, 0.3, 10.0, 2.39970730596235, 1.29028796404097, 10.0, 10.0, 2.89947235955676, 0.339743852045351, 10.0)",28.4,-9.12838719562554,-10.1745643856741,-9.05906756033049
17,"(0.343581597229751, 0.900753557489664, 0.3, 10.0, 2.40169803636319, 1.29026031668154, 10.0, 10.0, 2.89975153967019, 0.344429513517953, 10.0)",28.4,-9.22002368973024,-10.1128484896966,-8.86423277992731
18,"(0.343581597229751, 0.900753557489664, 0.3, 10.0, 2.40169803636319, 1.29983132942043, 10.0, 10.0, 2.89975153967019, 0.344429513517953, 10.0)",28.4,-9.34695808597303,-10.2893056545424,-9.02225478307736
19,"(0.343581597229751, 0.900753557489664, 0.3, 10.0, 2.40169803636319, 1.29026031668154, 10.0, 10.0, 2.89975153967019, 0.344820545787571, 10.0)",28.4,-9.42799828362644,-10.3895697369323,-9.10225388531495
20,"(0.345636597052621, 0.900753557489664, 0.3, 10.0, 2.40169803636319, 1.29026031668154, 10.0, 10.0, 2.89975153967019, 0.344429513517953, 10.0)",28.4,-9.29283449224233,-10.0584048954543,-8.71199809909887
21,"(0.343581597229751, 0.905492869874477, 0.3, 10.0, 2.40169803636319, 1.29026031668154, 10.0, 10.0, 2.89975153967019, 0.344429513517953, 10.0)",28.4,-9.40290577586559,-10.3153800743384,-9.01294111058897
22,"(0.343581597229751, 0.900753557489664, 0.3, 10.0, 2.40268860054318, 1.29026031668154, 10.0, 10.0, 2.89975153967019, 0.344429513517953, 10.0)",28.4,-9.7203254662519,-10.4779441252651,-8.96524313544669
23,"(0.343581597229751, 0.900753557489664, 0.3, 10.0, 2.40169803636319, 1.29026031668154, 10.0, 10.0, 2.9149378249933, 0.344429513517953, 10.0)",28.4,-9.68027965668097,-10.2839373275307,-8.73605136870333
24,"(0.343581596537632, 0.901112050371504, 0.3, 10.0, 2.39867476472781, 1.29028796404097, 10.0, 10.0, 2.91530219280955, 0.339743852045351, 10.0)",28.4,-9.1683649038501,-10.0478814615901,-8.82273221104844
25,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.29049430070882, 10.0, 10.0, 2.92387012137752, 0.324054514251529, 10.0)",28.4,-8.23594209752778,-9.39458579261513,-8.74544272275173
26,"(0.31872271467571, 0.847852902077836, 0.3, 10.0, 2.42444930665735, 1.43026031668154, 10.0, 10.0, 3.13475998969076, 0.344836594189614, 10.0)",28.0,-11.2860898843628,-12.5085396080933,-10.5329341948209
27,"(0.362897285185094, 0.972500768998018, 0.3, 10.0, 2.552, 1.33400287114233, 10.0, 10.0, 3.16731971478352, 0.300778147759129, 10.0)",26.1,-0.384613744427055,-6.39613403056758,-5.74247253794589
28,"(0.381649660246143, 0.971126371600852, 0.3, 10.0, 2.35579484886002, 1.37947710336659, 10.0, 10.0, 3.22084313283686, 0.33025890256264, 10.0)",28.2,-3.5756206706264,-3.90496733923663,-3.75601374132213
29,"(0.381649703387568, 0.979296624897327, 0.3, 10.0, 2.3688858732646, 1.3788825104138, 10.0, 10.0, 3.22435884122367, 0.317832146334293, 10.0)",28.1,-3.6178487032195,-3.78739740919741,-3.46072274076739
30,"(0.381649703387568, 0.979296624897327, 0.3, 10.0, 2.37294185390031, 1.3788825104138, 10.0, 10.0, 3.22435884122367, 0.31653398683099, 10.0)",28.0,-3.54117412304955,-3.77551420369737,-3.51566760441503
31,"(0.381649703387568, 0.979296624897327, 0.3, 10.0, 2.37294185390031, 1.3788825104138, 10.0, 10.0, 3.22435884122367, 0.317832146334293, 10.0)",28.0,-3.53079329800248,-3.80569248033366,-3.58707893548282
32,"(0.381649703387568, 0.979296624897327, 0.3, 10.0, 2.37294185390031, 1.39556227786401, 10.0, 10.0, 3.22435884122367, 0.317832146334293, 10.0)",28.1,-3.60628942805779,-3.7524164472979,-3.41000496900895
33,"(0.381649703387568, 0.979296624897327, 0.3, 10.0, 2.37294185390031, 1.3788825104138, 10.0, 10.0, 3.22435884122367, 0.319130305837596, 10.0)",28.0,-3.4936140900902,-3.78367801759237,-3.58777227327912
34,"(0.385345243638224, 0.979296624897327, 0.3, 10.0, 2.37294185390031, 1.3788825104138, 10.0, 10.0, 3.22435884122367, 0.317832146334293, 10.0)",28.1,-3.41778950878718,-3.54207517693716,-3.20804875323658
35,"(0.381649703387568, 0.991851534090248, 0.3, 10.0, 2.37294185390031, 1.3788825104138, 10.0, 10.0, 3.22435884122367, 0.317832146334293, 10.0)",28.0,-3.43646244245751,-3.71774732651839,-3.52721521195992
36,"(0.381649703387568, 0.979296624897327, 0.3, 10.0, 2.37699783453603, 1.3788825104138, 10.0, 10.0, 3.22435884122367, 0.317832146334293, 10.0)",28.0,-3.48050325058041,-3.76147814216909,-3.55805471924789
37,"(0.38164976439583, 0.990850553389751, 0.3, 10.0, 2.39719021718915, 1.37804166935179, 10.0, 10.0, 3.22933056508918, 0.298916783178892, 10.0)",27.8,-3.33631198798296,-3.53979933095924,-3.27190119076121
38,"(0.38164976439583, 0.990850553389751, 0.3, 10.0, 2.39719021718915, 1.35417371426065, 10.0, 10.0, 3.22933056508918, 0.30025890256264, 10.0)",27.8,-3.41661119639041,-3.58869781831687,-3.2803239761476
39,"(0.38164976439583, 0.990850553389751, 0.3, 10.0, 2.39719021718915, 1.37804166935179, 10.0, 10.0, 3.22933056508918, 0.30025890256264, 10.0)",27.8,-3.34861951253359,-3.56045897579418,-3.30026692294571
40,"(0.38164976439583, 0.990850553389751, 0.3, 10.0, 2.39719021718915, 1.40190962444294, 10.0, 10.0, 3.22933056508918, 0.30025890256264, 10.0)",27.8,-3.43822709688559,-3.62725171446955,-3.32787524628497
41,"(0.38164976439583, 0.990850553389751, 0.3, 10.0, 2.39719021718915, 1.37804166935179, 10.0, 10.0, 3.22933056508918, 0.301601021946388, 10.0)",27.8,-3.34263422236114,-3.5722933089078,-3.32887668943388
42,"(0.388315743281999, 0.990850553389751, 0.3, 10.0, 2.39719021718915, 1.37804166935179, 10.0, 10.0, 3.22933056508918, 0.30025890256264, 10.0)",27.7,-3.04237651350854,-3.26481417704216,-3.06453870778991
43,"(0.38164976439583, 1.00789909274057, 0.3, 10.0, 2.39719021718915, 1.37804166935179, 10.0, 10.0, 3.22933056508918, 0.30025890256264, 10.0)",27.7,-3.18066876990526,-3.46354687402306,-3.30015610880102
44,"(0.38164976439583, 0.990850553389751, 0.3, 10.0, 2.43674282848305, 1.37804166935179, 10.0, 10.0, 3.22933056508918, 0.30025890256264, 10.0)",27.4,-3.38136495365584,-3.67516326330755,-3.45965885506159
45,"(0.381649703387568, 0.979296624897327, 0.3, 10.0, 2.37294185390031, 1.3788825104138, 10.0, 10.0, 3.25566314896941, 0.317832146334293, 10.0)",28.0,-3.34217111755089,-3.62766298372564,-3.45728745045167
46,"(0.3519, 0.961739641907935, 0.3, 10.0, 2.32, 1.30817656744799, 10.0, 10.0, 3.26025, 0.301082656162664, 10.0)",28.7,-4.79557318944276,-4.99613029156052,-4.55530964139724
47,"(0.391, 1.0, 0.3, 10.0, 2.32, 1.4, 10.0, 10.0, 3.26025, 0.294572847305376, 10.0)",28.4,-2.52897478511704,-2.70893909533824,-2.58756523203697
48,"(0.391, 1.0, 0.3, 10.0, 2.32, 1.4, 10.0, 10.0, 3.26025, 0.3, 10.0)",28.4,-2.70243928521197,-2.81338256523622,-2.59497487022828
49,"(0.391, 1.0, 0.3, 10.0, 2.32, 1.42532671257491, 10.0, 10.0, 3.26025, 0.3, 10.0)",28.4,-2.57967390063014,-2.7552335978467,-2.62154320857981
50,"(0.391, 1.0, 0.3, 10.0, 2.32, 1.4, 10.0, 10.0, 3.26025, 0.305427152694624, 10.0)",28.4,-2.73948223892351,-2.85362441222619,-2.63363567969861
51,"(0.398073389011993, 1.0, 0.3, 10.0, 2.32, 1.4, 10.0, 10.0, 3.26025, 0.3, 10.0)",28.3,-2.32294604970053,-2.4735848248543,-2.35118355779337
52,"(0.391, 1.01809050898208, 0.3, 10.0, 2.32, 1.4, 10.0, 10.0, 3.26025, 0.3, 10.0)",28.4,-2.59892385750535,-2.68027091042211,-2.45178498590885
53,"(0.391, 1.0, 0.3, 10.0, 2.36196998083843, 1.4, 10.0, 10.0, 3.26025, 0.3, 10.0)",28.0,-2.61747482836622,-2.85070751440436,-2.75592769450889
54,"(0.38164976439583, 0.990850553389751, 0.3, 10.0, 2.39719021718915, 1.37804166935179, 10.0, 10.0, 3.28491306550768, 0.30025890256264, 10.0)",27.7,-3.20780668758409,-3.4387169831347,-3.21954347205697
55,"(0.391, 1.0, 0.3, 10.0, 2.32, 1.4, 10.0, 10.0, 3.31922958190883, 0.3, 10.0)",28.3,-2.45646984211729,-2.64452186239719,-2.54512514434931
