d [],dw [mm],h [mm],h_s [mm],l [mm],l_inset [mm],l_s [mm],ls [mm],w [mm],w_inset [mm],w_s [mm],operating_freq_GHz,s11_min_dB,s11_left_dB,s11_right_dB,min_index_in_batch
0.343581601031675,0.894661380361795,0.3,10,2.38908177835056,1.29049430070882,10,10,2.89833384122367,0.324054514251529,10,28.5,-9.60638173994769,-8.80882145326921,-8.47396570693302,25
0.343581601031675,0.894661380361795,0.3,10,2.3902198131557,1.29049430070882,10,10,2.89833384122367,0.323608344347375,10,28.5,-9.51001487850686,-8.85020668553566,-8.28438436375211,25
0.343581601031675,0.894661380361795,0.3,10,2.3902198131557,1.27962292937647,10,10,2.89833384122367,0.324054514251529,10,28.5,-9.6046619820964,-9.00258911505223,-8.30087473521425,25
0.343581601031675,0.894661380361795,0.3,10,2.3902198131557,1.29049430070882,10,10,2.89833384122367,0.324054514251529,10,28.5,-9.59047813930266,-8.92231027975875,-8.3447939117177,25
0.343581601031675,0.894661380361795,0.3,10,2.3902198131557,1.30136567204116,10,10,2.89833384122367,0.324054514251529,10,28.5,-9.54511267612794,-8.94657725103781,-8.2673535027128,25
0.343581601031675,0.894661380361795,0.3,10,2.3902198131557,1.29049430070882,10,10,2.89833384122367,0.324500684155684,10,28.5,-9.57396246960262,-8.94489402946552,-8.31052350914012,25
0.346626629830286,0.894661380361795,0.3,10,2.3902198131557,1.29049430070882,10,10,2.89833384122367,0.324054514251529,10,28.5,-9.26031092892598,-8.72676691689293,-8.00240984970985,25
0.343581601031675,0.902182223043676,0.3,10,2.3902198131557,1.29049430070882,10,10,2.89833384122367,0.324054514251529,10,28.4,-9.63641896056617,-8.41856199809136,-8.95536184737434,24
0.343581601031675,0.894661380361795,0.3,10,2.39135784796084,1.29049430070882,10,10,2.89833384122367,0.324054514251529,10,28.5,-9.45003053051035,-8.85974951202286,-8.18981458800907,25
0.343581596537632,0.8961719005463,0.3,10,2.39867476472781,1.29028796404097,10,10,2.89947235955676,0.339743852045351,10,28.4,-10.2797704293267,-9.20010555288399,-9.15394138827854,24
0.343581596537632,0.901112050371504,0.3,10,2.39867476472781,1.28031136130413,10,10,2.89947235955676,0.339743852045351,10,28.4,-10.1443788051322,-9.01684277039854,-9.13234569343239,24
0.343581596537632,0.901112050371504,0.3,10,2.39867476472781,1.29028796404097,10,10,2.89947235955676,0.339743852045351,10,28.4,-10.0753035888831,-8.90788058146948,-9.14071565846261,24
0.343581596537632,0.901112050371504,0.3,10,2.39867476472781,1.30026456677781,10,10,2.89947235955676,0.339743852045351,10,28.4,-10.1533189463126,-8.98102148849724,-9.19594464717215,24
0.343581596537632,0.901112050371504,0.3,10,2.39867476472781,1.29028796404097,10,10,2.89947235955676,0.34015145505641,10,28.4,-10.1817398029045,-9.0558961957238,-9.14652520165967,24
0.345723680914319,0.901112050371504,0.3,10,2.39867476472781,1.29028796404097,10,10,2.89947235955676,0.339743852045351,10,28.4,-9.90230661481573,-8.95245013906478,-8.79020623373775,24
0.343581596537632,0.906052200196708,0.3,10,2.39867476472781,1.29028796404097,10,10,2.89947235955676,0.339743852045351,10,28.4,-10.0678209541089,-8.92191455678067,-9.10719328577889,24
0.343581596537632,0.901112050371504,0.3,10,2.39970730596235,1.29028796404097,10,10,2.89947235955676,0.339743852045351,10,28.4,-10.1745643856741,-9.12838719562554,-9.05906756033049,24
0.343581597229751,0.900753557489664,0.3,10,2.40169803636319,1.29026031668154,10,10,2.89975153967019,0.344429513517953,10,28.4,-10.1128484896966,-9.22002368973024,-8.86423277992731,24
0.343581597229751,0.900753557489664,0.3,10,2.40169803636319,1.29983132942043,10,10,2.89975153967019,0.344429513517953,10,28.4,-10.2893056545424,-9.34695808597303,-9.02225478307736,24
0.343581597229751,0.900753557489664,0.3,10,2.40169803636319,1.29026031668154,10,10,2.89975153967019,0.344820545787571,10,28.4,-10.3895697369323,-9.42799828362644,-9.10225388531495,24
0.345636597052621,0.900753557489664,0.3,10,2.40169803636319,1.29026031668154,10,10,2.89975153967019,0.344429513517953,10,28.4,-10.0584048954543,-9.29283449224233,-8.71199809909887,24
0.343581597229751,0.905492869874477,0.3,10,2.40169803636319,1.29026031668154,10,10,2.89975153967019,0.344429513517953,10,28.4,-10.3153800743384,-9.40290577586559,-9.01294111058897,24
0.343581597229751,0.900753557489664,0.3,10,2.40268860054318,1.29026031668154,10,10,2.89975153967019,0.344429513517953,10,28.4,-10.4779441252651,-9.7203254662519,-8.96524313544669,24
0.343581597229751,0.900753557489664,0.3,10,2.40169803636319,1.29026031668154,10,10,2.9149378249933,0.344429513517953,10,28.4,-10.2839373275307,-9.68027965668097,-8.73605136870333,24
0.343581596537632,0.901112050371504,0.3,10,2.39867476472781,1.29028796404097,10,10,2.91530219280955,0.339743852045351,10,28.4,-10.0478814615901,-9.1683649038501,-8.82273221104844,24
0.343581601031675,0.894661380361795,0.3,10,2.3902198131557,1.29049430070882,10,10,2.92387012137752,0.324054514251529,10,28.4,-9.39458579261513,-8.23594209752778,-8.74544272275173,24
0.31872271467571,0.847852902077836,0.3,10,2.42444930665735,1.43026031668154,10,10,3.13475998969076,0.344836594189614,10,28.0,-12.5085396080933,-11.2860898843628,-10.5329341948209,20
0.362897285185094,0.972500768998018,0.3,10,2.552,1.33400287114233,10,10,3.16731971478352,0.300778147759129,10,26.1,-6.39613403056758,-6.23469522324874,-5.74247253794589,1
0.381649660246143,0.971126371600852,0.3,10,2.35579484886002,1.37947710336659,10,10,3.22084313283686,0.33025890256264,10,28.2,-3.90496733923663,-3.5756206706264,-3.75601374132213,22
0.381649703387568,0.979296624897327,0.3,10,2.3688858732646,1.3788825104138,10,10,3.22435884122367,0.317832146334293,10,28.1,-3.78739740919741,-3.6178487032195,-3.46072274076739,21
0.381649703387568,0.979296624897327,0.3,10,2.37294185390031,1.3788825104138,10,10,3.22435884122367,0.31653398683099,10,28.0,-3.77551420369737,-3.54117412304955,-3.51566760441503,20
0.381649703387568,0.979296624897327,0.3,10,2.37294185390031,1.3788825104138,10,10,3.22435884122367,0.317832146334293,10,28.0,-3.80569248033366,-3.53079329800248,-3.58707893548282,20
0.381649703387568,0.979296624897327,0.3,10,2.37294185390031,1.39556227786401,10,10,3.22435884122367,0.317832146334293,10,28.1,-3.7524164472979,-3.60628942805779,-3.41000496900895,21
0.381649703387568,0.979296624897327,0.3,10,2.37294185390031,1.3788825104138,10,10,3.22435884122367,0.319130305837596,10,28.0,-3.78367801759237,-3.4936140900902,-3.58777227327912,20
0.385345243638224,0.979296624897327,0.3,10,2.37294185390031,1.3788825104138,10,10,3.22435884122367,0.317832146334293,10,28.1,-3.54207517693716,-3.41778950878718,-3.20804875323658,21
0.381649703387568,0.991851534090248,0.3,10,2.37294185390031,1.3788825104138,10,10,3.22435884122367,0.317832146334293,10,28.0,-3.71774732651839,-3.43646244245751,-3.52721521195992,20
0.381649703387568,0.979296624897327,0.3,10,2.37699783453603,1.3788825104138,10,10,3.22435884122367,0.317832146334293,10,28.0,-3.76147814216909,-3.48050325058041,-3.55805471924789,20
0.38164976439583,0.990850553389751,0.3,10,2.39719021718915,1.37804166935179,10,10,3.22933056508918,0.298916783178892,10,27.8,-3.53979933095924,-3.33631198798296,-3.27190119076121,18
0.38164976439583,0.990850553389751,0.3,10,2.39719021718915,1.35417371426065,10,10,3.22933056508918,0.30025890256264,10,27.8,-3.58869781831687,-3.41661119639041,-3.2803239761476,18
0.38164976439583,0.990850553389751,0.3,10,2.39719021718915,1.37804166935179,10,10,3.22933056508918,0.30025890256264,10,27.8,-3.56045897579418,-3.34861951253359,-3.30026692294571,18
0.38164976439583,0.990850553389751,0.3,10,2.39719021718915,1.40190962444294,10,10,3.22933056508918,0.30025890256264,10,27.8,-3.62725171446955,-3.43822709688559,-3.32787524628497,18
0.38164976439583,0.990850553389751,0.3,10,2.39719021718915,1.37804166935179,10,10,3.22933056508918,0.301601021946388,10,27.8,-3.5722933089078,-3.34263422236114,-3.32887668943388,18
0.388315743281999,0.990850553389751,0.3,10,2.39719021718915,1.37804166935179,10,10,3.22933056508918,0.30025890256264,10,27.7,-3.26481417704216,-3.04237651350854,-3.06453870778991,17
0.38164976439583,1.00789909274057,0.3,10,2.39719021718915,1.37804166935179,10,10,3.22933056508918,0.30025890256264,10,27.7,-3.46354687402306,-3.18066876990526,-3.30015610880102,17
0.38164976439583,0.990850553389751,0.3,10,2.43674282848305,1.37804166935179,10,10,3.22933056508918,0.30025890256264,10,27.4,-3.67516326330755,-3.38136495365584,-3.45965885506159,14
0.381649703387568,0.979296624897327,0.3,10,2.37294185390031,1.3788825104138,10,10,3.25566314896941,0.317832146334293,10,28.0,-3.62766298372564,-3.34217111755089,-3.45728745045167,20
0.3519,0.961739641907935,0.3,10,2.32,1.30817656744799,10,10,3.26025,0.301082656162664,10,28.7,-4.99613029156052,-4.79557318944276,-4.55530964139724,27
0.391,1.0,0.3,10,2.32,1.4,10,10,3.26025,0.294572847305376,10,28.4,-2.70893909533824,-2.52897478511704,-2.58756523203697,24
0.391,1.0,0.3,10,2.32,1.4,10,10,3.26025,0.3,10,28.4,-2.81338256523622,-2.70243928521197,-2.59497487022828,24
0.391,1.0,0.3,10,2.32,1.42532671257491,10,10,3.26025,0.3,10,28.4,-2.7552335978467,-2.57967390063014,-2.62154320857981,24
0.391,1.0,0.3,10,2.32,1.4,10,10,3.26025,0.305427152694624,10,28.4,-2.85362441222619,-2.73948223892351,-2.63363567969861,24
0.398073389011993,1.0,0.3,10,2.32,1.4,10,10,3.26025,0.3,10,28.3,-2.4735848248543,-2.32294604970053,-2.35118355779337,23
0.391,1.01809050898208,0.3,10,2.32,1.4,10,10,3.26025,0.3,10,28.4,-2.68027091042211,-2.59892385750535,-2.45178498590885,24
0.391,1.0,0.3,10,2.36196998083843,1.4,10,10,3.26025,0.3,10,28.0,-2.85070751440436,-2.61747482836622,-2.75592769450889,20
0.38164976439583,0.990850553389751,0.3,10,2.39719021718915,1.37804166935179,10,10,3.28491306550768,0.30025890256264,10,27.7,-3.4387169831347,-3.20780668758409,-3.21954347205697,17
0.391,1.0,0.3,10,2.32,1.4,10,10,3.31922958190883,0.3,10,28.3,-2.64452186239719,-2.45646984211729,-2.54512514434931,23
